apps,bondmode,time
is,802.3ad-4NICs-layer2,9.27
ft,802.3ad-4NICs-layer2,94.26
sp,802.3ad-4NICs-layer2,191.34
ft,802.3ad-4NICs-layer2,244.24
alya,802.3ad-4NICs-layer2,2253.95
alya,802.3ad-4NICs-layer2,903.65
alya,802.3ad-4NICs-layer2,899.03
ft,802.3ad-4NICs-layer2,93.69
lu,802.3ad-4NICs-layer2,107.11
cg,802.3ad-4NICs-layer2,44.97
ep,802.3ad-4NICs-layer2,29.86
ep,802.3ad-4NICs-layer2,183.26
ft,802.3ad-4NICs-layer2,94.34
is,802.3ad-4NICs-layer2,9.25
ep,802.3ad-4NICs-layer2,29.77
cg,802.3ad-4NICs-layer2,107.70
alya,802.3ad-4NICs-layer2,897.22
lu,802.3ad-4NICs-layer2,107.16
is,802.3ad-4NICs-layer2,9.28
bt,802.3ad-4NICs-layer2,175.35
bt,802.3ad-4NICs-layer2,176.54
bt,802.3ad-4NICs-layer2,176.50
ep,802.3ad-4NICs-layer2,29.75
ft,802.3ad-4NICs-layer2,93.95
lu,802.3ad-4NICs-layer2,106.96
is,802.3ad-4NICs-layer2,9.32
alya,802.3ad-4NICs-layer2,898.98
ft,802.3ad-4NICs-layer2,93.85
sp,802.3ad-4NICs-layer2,192.62
ft,802.3ad-4NICs-layer2,93.82
mg,802.3ad-4NICs-layer2,12.35
sp,802.3ad-4NICs-layer2,191.83
ep,802.3ad-4NICs-layer2,29.85
cg,802.3ad-4NICs-layer2,44.90
sp,802.3ad-4NICs-layer2,193.38
bt,802.3ad-4NICs-layer2,685.29
mg,802.3ad-4NICs-layer2,21.48
is,802.3ad-4NICs-layer2,9.24
ep,802.3ad-4NICs-layer2,29.74
lu,802.3ad-4NICs-layer2,108.39
is,802.3ad-4NICs-layer2,9.28
mg,802.3ad-4NICs-layer2,12.69
bt,802.3ad-4NICs-layer2,175.80
is,802.3ad-4NICs-layer2,9.16
mg,802.3ad-4NICs-layer2,18.68
alya,802.3ad-4NICs-layer2,899.00
mg,802.3ad-4NICs-layer2,12.64
ep,802.3ad-4NICs-layer2,183.28
cg,802.3ad-4NICs-layer2,81.88
ft,802.3ad-4NICs-layer2,93.75
alya,802.3ad-4NICs-layer2,902.44
cg,802.3ad-4NICs-layer2,180.07
sp,802.3ad-4NICs-layer2,192.77
alya,802.3ad-4NICs-layer2,900.95
bt,802.3ad-4NICs-layer2,175.79
