apps,bondmode,time
bt,802.3ad-4NICs-layer2,538.08
bt,802.3ad-4NICs-layer2,555.43
bt,802.3ad-4NICs-layer2,527.84
bt,802.3ad-4NICs-layer2,513.32
bt,802.3ad-4NICs-layer2,530.87
bt,802.3ad-4NICs-layer2,495.49
bt,802.3ad-4NICs-layer2,494.24
bt,802.3ad-4NICs-layer2,533.46
bt,802.3ad-4NICs-layer2,557.24
bt,802.3ad-4NICs-layer2,500.06
bt,802.3ad-4NICs-layer2,506.37
sp,802.3ad-4NICs-layer2,792.07
sp,802.3ad-4NICs-layer2,761.32
sp,802.3ad-4NICs-layer2,791.82
sp,802.3ad-4NICs-layer2,779.62
sp,802.3ad-4NICs-layer2,796.54
sp,802.3ad-4NICs-layer2,831.48
sp,802.3ad-4NICs-layer2,767.65
sp,802.3ad-4NICs-layer2,790.68
sp,802.3ad-4NICs-layer2,770.45
sp,802.3ad-4NICs-layer2,772.15
sp,802.3ad-4NICs-layer2,787.50
sp,802.3ad-4NICs-layer2,792.95
sp,802.3ad-4NICs-layer2,818.96
sp,802.3ad-4NICs-layer2,818.36
sp,802.3ad-4NICs-layer2,809.75
sp,802.3ad-4NICs-layer2,790.99
sp,802.3ad-4NICs-layer2,748.31
sp,802.3ad-4NICs-layer2,819.82
sp,802.3ad-4NICs-layer2,777.97
sp,802.3ad-4NICs-layer2,783.23
sp,802.3ad-4NICs-layer2,770.87
sp,802.3ad-4NICs-layer2,804.69
sp,802.3ad-4NICs-layer2,802.21
sp,802.3ad-4NICs-layer2,755.60
sp,802.3ad-4NICs-layer2,778.65
sp,802.3ad-4NICs-layer2,798.76
sp,802.3ad-4NICs-layer2,794.27
sp,802.3ad-4NICs-layer2,774.29
sp,802.3ad-4NICs-layer2,794.20
sp,802.3ad-4NICs-layer2,776.26
bt,802.3ad-4NICs-layer2,552.91
bt,802.3ad-4NICs-layer2,581.95
bt,802.3ad-4NICs-layer2,503.50
bt,802.3ad-4NICs-layer2,503.04
bt,802.3ad-4NICs-layer2,511.33
bt,802.3ad-4NICs-layer2,526.31
bt,802.3ad-4NICs-layer2,489.76
bt,802.3ad-4NICs-layer2,520.64
bt,802.3ad-4NICs-layer2,502.52
bt,802.3ad-4NICs-layer2,520.60
bt,802.3ad-4NICs-layer2,519.78
bt,802.3ad-4NICs-layer2,511.89
bt,802.3ad-4NICs-layer2,501.51
bt,802.3ad-4NICs-layer2,525.61
bt,802.3ad-4NICs-layer2,500.47
bt,802.3ad-4NICs-layer2,531.00
bt,802.3ad-4NICs-layer2,503.90
bt,802.3ad-4NICs-layer2,557.28
bt,802.3ad-4NICs-layer2,502.11
bt,802.3ad-4NICs-layer2,539.91
bt,802.3ad-4NICs-layer2,504.43
bt,802.3ad-4NICs-layer2,538.90
bt,802.3ad-4NICs-layer2,515.82
bt,802.3ad-4NICs-layer2,531.12
bt,802.3ad-4NICs-layer2,527.79
bt,802.3ad-4NICs-layer2,557.50
bt,802.3ad-4NICs-layer2,524.47
bt,802.3ad-4NICs-layer2,511.79
bt,802.3ad-4NICs-layer2,576.91
bt,802.3ad-4NICs-layer2,493.99
sp,802.3ad-4NICs-layer2,814.09
sp,802.3ad-4NICs-layer2,764.61
sp,802.3ad-4NICs-layer2,814.70
sp,802.3ad-4NICs-layer2,797.32
sp,802.3ad-4NICs-layer2,822.39
sp,802.3ad-4NICs-layer2,801.26
sp,802.3ad-4NICs-layer2,767.39
sp,802.3ad-4NICs-layer2,763.78
sp,802.3ad-4NICs-layer2,778.27
